bin,n,mean_probability,observed_rate,absolute_gap,min_probability,max_probability
1,14,0.05425642876062363,0.14285714285714285,0.08860071409651922,0.047477633122409615,0.058464767447367345
2,14,0.061499230583069074,0.07142857142857142,0.00992934084550235,0.05889586684566427,0.06353594944992
3,14,0.0652456602786516,0.07142857142857142,0.006182911149919826,0.06354050144196954,0.06646163370930629
4,13,0.06690004520681449,0.07692307692307693,0.01002303171626244,0.0664904177417784,0.06734359102459021
5,13,0.07015091117329944,0.23076923076923078,0.16061831959593134,0.06734965651733711,0.0825952530750763
6,13,0.08570311866930512,0.07692307692307693,0.008780041746228193,0.08260374326668898,0.08900668570160342
7,13,0.09012229253877022,0.3076923076923077,0.2175700151535375,0.0891078237121969,0.09155635197266657
8,13,0.09285225657703171,0.3076923076923077,0.214840051115276,0.09165033940616536,0.09368645494585345
9,13,0.09461070969717024,0.15384615384615385,0.059235444148983615,0.09377166813143062,0.09527531286563962
10,13,0.0964127439814248,0.23076923076923078,0.13435648678780598,0.09533779361814683,0.09873431646639746
