bin,n,mean_probability,observed_rate,absolute_gap,min_probability,max_probability,wilson90_lower,wilson90_upper
1,17,0.04547347820786385,0.11764705882352941,0.07217358061566556,0.03834549060265144,0.04952531573158338,0.03972757626962137,0.3005595855493944
2,17,0.05185161384397005,0.058823529411764705,0.006971915567794654,0.04993579527242916,0.053266634679920974,0.013234375649735203,0.2255585033722061
3,17,0.05490816866036506,0.058823529411764705,0.003915360751399644,0.05342496268733021,0.05618729652050117,0.013234375649735203,0.2255585033722061
4,17,0.05691642374759017,0.058823529411764705,0.001907105664174534,0.05633140805988867,0.05741810952730124,0.013234375649735203,0.2255585033722061
5,16,0.06179461193479781,0.1875,0.1257053880652022,0.05759110150422887,0.07858955888970845,0.07752937709440158,0.3878697424478543
6,16,0.08108664976987082,0.0,0.08108664976987082,0.07864473223862972,0.08343912529619062,0.0,0.1446385912676094
7,16,0.08435738357606568,0.3125,0.22814261642393432,0.08353970182566438,0.08545990713761178,0.16126565708702384,0.5179738146383297
8,16,0.08690594993225746,0.1875,0.10059405006774254,0.08557555491924346,0.0876706162102019,0.07752937709440158,0.3878697424478543
9,16,0.08860025234339378,0.1875,0.09889974765660622,0.08784320343858722,0.08917005446350863,0.07752937709440158,0.3878697424478543
10,16,0.09028243423831579,0.1875,0.09721756576168421,0.08924944874383932,0.09263508348404303,0.07752937709440158,0.3878697424478543
